dependency,count
com.baidu.hugegraph:hbase-shaded-endpoint,1
org.apache.mnemonic:mnemonic-pmdk-vmem-service,1
org.eclipse.rdf4j:rdf4j-rio-nquad,1
org.jboss.windup.exec:windup-exec,1
com.bazaarvoice.jolt:json-utils,1
io.syndesis.connector:connector-google-calendar,1
com.vmware.admiral:admiral-host,1
com.querydsl:querydsl-kotlin-codegen,1
org.apache.syncope.ext.oidcc4ui:syncope-ext-oidcc4ui-client-common-ui,1
org.wicketstuff:wicketstuff-progressbar-spring,1
io.ha-jdbc:ha-jdbc-i18n-gettext,1
io.ebean:ebean-ddl-runner,1
org.kitesdk:kite-tools,1
jexcelapi:jxl,3
com.pig4cloud:pig-common-swagger,1
io.seata:seata-discovery-zk,1
org.apache.maven.surefire:common-junit4,1
com.github.haifengl:smile-data,1
io.sentry:sentry-logback,1
com.facebook.jcommon:config,1
info.debatty:java-string-similarity,1
org.joml:joml-primitives,1
net.lightbody.bmp:browsermob-proxy,1
com.esotericsoftware.kryonet:kryonet,1
gov.nsa.datawave.microservice:dictionary-api,1
edu.illinois.cs.cogcomp:illinois-quantifier,1
org.graphfoundation.ongdb:ongdb-management,1
org.gridkit.lab:telecontrol-ssh,1
org.flowable:flowable-spring-boot-starter-ui-modeler,1
org.apache.linkis:linkis-instance-label-server,1
io.gravitee.am.plugins.handlers:gravitee-am-plugins-handlers-factor,1
org.nutz:nutz-integration-zbus,1
com.facebook.presto:presto-testing-server-launcher,1
org.wso2.carbon.identity.oauth.uma:org.wso2.carbon.identity.api.server.oauth.uma.permission,1
net.anotheria:moskito-inspect-jersey,1
org.webjars.npm:wicked-good-xpath,1
org.joyqueue:joyqueue-broker-mqtt,1
org.joyqueue:joyqueue-security,1
org.fenixedu:tinTools,1
org.apache.tomcat.embed:tomcat-embed-jasper,21
org.jctools:jctools-core,13
org.littleshoot:littleproxy,8
org.apache.camel.quarkus:camel-quarkus-aws2-sts-deployment,1
org.apache.camel.quarkus:camel-quarkus-exec,1
org.netbeans.api:org-netbeans-api-annotations-common,8
com.caffeineowl:bezier-utils,1
com.squareup.retrofit2:retrofit,25
io.trino:trino-jmx,1
org.apache.lucene:lucene-memory,6
org.nuxeo.ecm.core:nuxeo-core-storage-sql,1
org.nuxeo.ecm.platform:nuxeo-platform-ui-web,1
io.netty:netty-codec-memcache,2
org.atteo.classindex:classindex-transformer-test-compiletimemodule,1
org.apache.hadoop:hadoop-client-minicluster,1
jgroups:jgroups-all,1
org.janusgraph:janusgraph-core,3
org.kie.kogito:cloudevents-utils,1
org.kie.kogito:kogito-addons-quarkus-persistence-infinispan-health,1
org.kie.kogito:kogito-api-incubation-rules,1
org.kie.kogito:kogito-quarkus-deployment,1
org.apache.nifi:nifi-expression-language,1
org.jboss.spec.javax.annotation:jboss-annotations-api_1.3_spec,1
br.com.finalcraft:fancychat,1
org.glassfish.common:amx-core,3
org.glassfish.jaccApi.test:jaccApi-common,2
org.glassfish.main.admin:gf-restadmin-connector,2
org.glassfish.main.security:websecurity,2
org.noear:hasor-solon-plugin,1
org.noear:nami.coder.jackson,1
org.noear:sentinel-solon-plugin,1
io.quarkus:quarkus-smallrye-context-propagation-deployment,1
io.smallrye.stork:smallrye-stork-service-discovery-static-list,1
org.atteo:xml-combiner,1
org.primefaces:primefaces,14
com.wavefront:wavefront-spring-boot,1
com.dspot:declex-api,1
org.wso2.carbon.mediation:org.wso2.carbon.proxyadmin.stub,2
com.vaadin:vaadin-karaf-bundle1,1
com.amazonaws:aws-lambda-java-runtime-interface-client,1
dep-in-parent:dep,1
org.apache.edgent.android:edgent-connectors-rabbitmq,1
org.apache.edgent.android:edgent-providers-direct,1
org.apache.omid:omid-commit-table,2
com.egzosn:pay-java-wx,1
com.oracle.oci.sdk:oci-java-sdk-apmtraces,1
com.oracle.oci.sdk:oci-java-sdk-cims,1
org.apache.spark:spark-sql_2.11,6
org.tanaguru:tanaguru-rgaa2.2,1
org.apache.predictionio:predictionio-sdk-java-client,1
org.dromara:hmily-tac-sqlcompute,1
com.netflix.ribbon:ribbon-core,5
org.wildfly.swarm:config-api-runtime,1
org.zalando:opentracing-flowid-autoconfigure,1
org.zalando:opentracing-proxy,1
avalon-framework:avalon-framework,3
iped:iped-parsers-impl,1
iped:java-dbf,1
org.jboss.resteasy:resteasy-atom-provider,2
qunar.tc.qconfig:qconfig-client,1
org.apache.samza:samza-core_2.11,1
org.jboss.arquillian.extension:arquillian-rest-client-impl-3x,3
org.apache.maven:maven-builder-support,1
org.dcm4che.dcm4chee-arc:dcm4chee-arc-rs-util,1
org.ops4j.pax.tipi:org.ops4j.pax.tipi.hamcrest.core,1
org.sonatype.nexus:nexus-scheduling,1
com.github.markusbernhardt:proxy-vole,1
com.smartbear.utils.analytics:out-app-analytics-provider,1
com.sun.hotspot.igv:BatikSVGProxy,1
org.pac4j:pac4j-oauth,3
org.jruby:jruby-stdlib,1
org.antlr:antlr-master,1
tomcat:jasper-runtime,1
tagsoup:tagsoup,1
com.logicalclocks:service-discovery-client,1
net.sf.ehcache:ehcache-web,2
org.mock-server:mockserver-core,2
com.youlai:common-rabbitmq,1
org.vassalengine:vassal-app,1
org.jupnp:org.jupnp,1
org.codice.ddf.spatial:spatial-geocoding-offline-index,1
org.oreon.common:oe-common-ui,1
org.wso2.carbon:org.wso2.carbon.identity.oauth.stub,1
org.onebusaway:onebusaway-siri-api,1
com.evanlennick:retry4j,1
org.apache.sentry:solr-sentry-handlers,1
org.apache.shenyu:shenyu-register-common,1
com.git.hui.boot:102-jpa-errorcase,1
org.talend.esb.auxiliary.storage:auxiliary-storage-persistence-file,1
org.talend.esb.examples.rent-a-car:reservationservice-common,1
org.swordapp:sword-common,1
org.apache.ignite:ignite-rest-http,1
org.apache.ignite:ignite-ssh,1
edu.isi:import-json,1
jboss:jboss-jmx,1
com.pusher:pusher-http-java,1
de.dfki.mary:marytts-lang-fr,1
com.axellience:vue-gwt-processors,1
org.apereo.cas:cas-server-support-thymeleaf,1
org.eclipse:text,1
io.ebean:ebean-test,1
org.eclipse.hono:hono-service-command-router-base,1
fish.payara.server.internal.security:appclient.security,1
org.restcomm.media.core.asr:media-core-asr-api,1
com.thinkbiganalytics.kylo.integrations:kylo-nifi-provenance-repo,1
com.thinkbiganalytics.kylo:kylo-commons-spring,1
org.interledger:stream-receiver,1
org.expath.packaging:pkg-java,1
eu.europa.ec.joinup.sd-dss:dss-token,1
pentaho:pentaho-kettle-repository-locator-api,1
org.bytesoft:bytetcc-core,1
org.apidesign.bck2brwsr:ko-bck2brwsr,1
org.teavm:teavm-eclipse-plugin,1
slash.navigation:elevation-service,1
org.apache.storm:storm-client,1
gov.nsa.datawave.webservices:datawave-ws-atom,1
org.jberet.test-apps:cdiScopes-commons,1
org.apache.portals:portlet-api_2.0_spec,1
org.mule.runtime:mule-core-components,1
com.woorea:keystone-client,1
org.apache.linkis:linkis-httpclient,1
io.gravitee.am.gateway:gravitee-am-gateway-core,1
org.zalando:riptide-logbook,1
org.ocpsoft.rewrite:rewrite-integration-spring,1
com.github.ltsopensource:lts-core,1
com.cxytiandi:kitty-spring-cloud-starter-sleuth,1
io.github.sevdokimov.logviewer:log-viewer,1
com.google.cloud.dataflow:google-cloud-dataflow-java-sdk-all,2
com.querydsl:codegen-utils,1
org.xwiki.platform:xwiki-platform-annotation-rest,1
org.xwiki.platform:xwiki-platform-container-servlet,1
org.json:json,137
org.codehaus.woodstox:stax2-api,24
org.joyqueue:joyqueue-network,1
org.apache.camel.quarkus:camel-quarkus-aws2-ddb-deployment,1
org.apache.camel.quarkus:camel-quarkus-geocoder,1
org.apache.camel.quarkus:camel-quarkus-integration-test-messaging-jms,1
org.apache.camel.quarkus:camel-quarkus-xmpp,1
org.netbeans.api:org-netbeans-modules-editor-util,2
org.apache.hadoop:hadoop-annotations,18
org.apache.maven:maven-aether-provider,15
com.github.xiaoymin:knife4j-spring-boot-starter,9
com.flickr4java:flickr4java,1
eu.larkc.csparql:CSPARQL,1
org.bethecoder:ascii-table,1
org.openimaj.tools:ClusterQuantiserTool,1
io.activej:activej-datastream,1
io.trino:trino-testing-kafka,1
org.jline:jline-terminal,5
com.sun.jersey.contribs:jersey-apache-client4,7
org.nuxeo.ecm.automation:nuxeo-automation-test,1
org.nuxeo.ecm.platform:nuxeo-apidoc-repo,1
org.nuxeo.ecm.platform:nuxeo-platform-comment-workflow,1
org.nuxeo.ecm.platform:nuxeo-platform-directory-sql,1
net.sourceforge.cobertura:cobertura,2
org.eclipse.jetty:apache-jsp,11
com.vaadin.external.google:android-json,7
org.drools:drools-xml-support,1
org.apache.nifi:nifi-properties,1
com.googlecode.wicket-jquery-ui:wicket-jquery-ui,4
javax.help:javahelp,6
org.glassfish.main.admin:admin-util,2
org.glassfish.main.web:web-cli,2
net.lingala.zip4j:zip4j,13
com.stratio.decision:api,1
org.apache.jackrabbit:oak-commons,1
mil.nga:wkb,1
org.noear:solon.socketd,1
com.qubole.rubix:rubix-prestosql,1
io.quarkus:quarkus-amazon-lambda-common-deployment,1
io.quarkus:quarkus-devservices-oracle,1
io.quarkus:quarkus-resteasy-reactive-kotlin-deployment,1
io.quarkus:quarkus-smallrye-jwt,1
io.quarkus:quarkus-smallrye-reactive-messaging-kotlin,1
io.quarkus:quarkus-spring-web-deployment,1
org.wildfly.security:wildfly-elytron-sasl-oauth2,1
org.wildfly.security:wildfly-elytron-sasl-plain,1
org.wso2.carbon.identity.inbound.auth.saml2:org.wso2.carbon.identity.sso.saml.stub,1
org.example:cp-oc-infrastructure,1
org.apache.maven.reporting:maven-reporting-api,7
org.wso2.carbon.mediation:org.wso2.carbon.localentry,1
io.jenkins.plugin-management:plugin-management-library,1
opensymphony:oscore,1
org.codehaus.groovy:groovy-all-minimal,1
com.ljq.demo.springboot:demo-base-web,1
org.jboss.interceptor:jboss-interceptor-spi,1
org.zkoss.common:zcommon,1
com.oracle.oci.sdk:oci-java-sdk-devops,1
org.eclipse.platform:org.eclipse.swt,1
org.sonarsource.sonarlint.core:sonarlint-core,4
com.google.code:cjftransform,1
org.languagetool:languagetool-http-client,1
de.is24.common:appmon4j-spring,1
com.dslplatform:maven-java8-example,1
org.datanucleus:datanucleus-rdbms,3
org.jboss.narayana.arjunacore:arjuna,1
com.linecorp.armeria:armeria,3
org.dromara:hmily-config-loader,1
org.dromara:hmily-config-local,1
me.filoghost.holographicdisplays:holographicdisplays-nms-common,1
org.wildfly.swarm:topology-runtime,1
org.zalando:opentracing-jdbc-starter,1
edu.gmu.eclab:cityMigrationData,1
io.kcache:kcache,1
com.kjetland:mbknor-jackson-jsonschema_2.12,5
org.forgerock.ce.commons:forgerock-authz-filter,1
org.apache.sirona:sirona-javaagent,1
com.jslsolucoes:tagria-lib,1
org.wso2.carbon.commons:org.wso2.carbon.application.mgt.stub,1
org.tribuo:tribuo-classification-core,1
org.eclipse.platform:org.eclipse.equinox.metatype,1
com.camunda.consulting:camunda-bpm-simulator,1
io.confluent:kafka-streams-avro-serde,1
com.azure.resourcemanager:azure-resourcemanager-msi,1
com.azure:azure-storage-internal-avro,1
org.springframework.cloud:spring-cloud-dataflow-registry,1
org.exoplatform.gatein.portal:exo.portal.webui.portal,1
nl.lxtreme.ols:util,1
test:dependency-bundle-c,1
io.lumify:lumify-gpw-subrip-parser,1
io.lumify:lumify-web-import-export-workspaces,1
org.openhab.addons.bundles:org.openhab.binding.volvooncall,1
ddf.catalog.admin:catalog-admin-poller-service,1
ddf.platform:bootflag-api,1
com.hurence.logisland:logisland-processor-xml,1
com.hugin:hugin,1
org.bytesoft:bytetcc-common,2
org.apache.shenyu:shenyu-plugin-httpclient,1
org.apache.shenyu:shenyu-plugin-request,1
io.onedev:server-plugin-import-jiracloud,1
org.eclipse.rdf4j:rdf4j-sail-solr,1
org.apache.ignite.binary:test1,1
org.apache.xmlbeans:xmlbeans-xmlpublic,1
com.yammer.metrics:metrics-servlet,1
