groupId,artifactId
org.noear,nami.coder.protostuff
fr.avianey.androidsvgdrawable,core
org.apache.camel.quarkus,camel-quarkus-support-aws2-deployment
org.apache.cxf,cxf-rt-frontend-jaxws
com.codenvy.onpremises.wsmaster,codenvy-hosted-system
com.qlangtech.tis,xmodifier
com.networknt,exception
org.opencastproject,opencast-asset-manager-api
org.apache.knox,gateway-performance-test
com.oracle.instantclient,xstreams
org.apache.activemq.protobuf,activemq-protobuf
com.dalsemi,OneWireApi
com.github.differentway,couchmove
de.tr7zw,nbt-data-api
de.learnlib,learnlib-membership-oracles
org.jetlinks.community,timeseries-component
org.apache.xmlgraphics,xmlgraphics-commons
org.apache.camel.quarkus,camel-quarkus-ldap
com.alibaba.otter,canal.server
com.sun.grizzly.osgi,grizzly-httpservice-bundle
org.testcontainers,cassandra
org.jfaster,mango
org.tellstick,javatellstick
org.apache.nifi.minifi,minifi-c2-provider-nifi-rest
org.jboss.aerogear,unifiedpush-java-client
org.glassfish.main.admin,nucleus-domain
org.lucee,commons-email
org.apache.beam,beam-sdks-java-extensions-sorter
org.nuxeo.ecm.annot,nuxeo-annot-http
org.apache.cloudstack,cloud-engine-api
com.vaadin,vaadin-form-layout-flow
org.linlinjava,litemall-wx-api
org.carrot2,morfologik-fsa-builders
br.com.caelum.stella,caelum-stella-faces
com.dianping.puma,puma-extensions-device
com.youlai,common-mybatis
com.github.penggle,kaptcha
io.trino,trino-thrift-api
rusv,agafua-syslog
com.facebook.presto,presto-blackhole
org.apache.pulsar,pulsar-client
net.sf.okapi,okapi-core
io.activej,activej-jmx
cn.jbone,jbone-sso-client
global.namespace.truelicense,truelicense-api
org.apache.samza,samza-log4j2_2.11
org.eclipse.aether,aether-api
de.odysseus.juel,juel-api
org.glassfish.main.connectors,connectors-inbound-runtime
com.asakusafw,collections
io.apicurio,apicurio-registry-rest-client
us.codecraft,webmagic-extension
org.jitsi,zrtp4j-light
com.github.jai-imageio,jai-imageio-core
net.anotheria,moskito-php
com.azure,azure-core-amqp
org.xwiki.platform,xwiki-platform-rendering-configuration-api
org.springframework.data,spring-data-jpa
org.passay,passay
com.itextpdf,pdfa
fish.payara.server.internal.admin,admin-util-l10n
ro.pippo,pippo-undertow
org.springframework.boot,spring-boot-starter-data-jpa
org.apache.cxf,cxf-rt-frontend-jaxrs
com.marcosbarbero.cloud,spring-cloud-zuul-ratelimit-core
com.oracle.oci.sdk,oci-java-sdk-servicemanagerproxy
org.pentaho.reporting.designer,ext-pentaho
org.apache.pulsar,pulsar-io-debezium-mysql
com.zsmartsystems.zigbee,com.zsmartsystems.zigbee.dongle.xbee
io.quarkus,quarkus-bootstrap-maven-resolver
com.azure,azure-mixedreality-remoterendering
ddf.admin.core,admin-core-api
org.apache.ranger,ranger-intg
org.opennms.newts,newts-queryparser
org.springframework.boot,spring-boot-starter-reactor-netty
com.sun.faces,jsf-api
io.quarkus,quarkus-integration-test-shared-library
com.github.lybgeek,springboot-circuit-breaker-framework
org.apache.sshd,sshd-cli
com.github.docker-java,docker-java
eigenbase,eigenbase-resgen
org.apache.tomee,openejb-jee-accessors
org.openhab.addons.bundles,org.openhab.binding.heos
groovy,groovy-all
org.apache.zeppelin,flink1.12-shims
com.google.cloud,google-cloud-spanner
de.codecentric,spring-boot-admin-starter-client
io.springfox,springfox-spring-web
jp.vmi,selenese-runner-java
org.xwiki.platform,xwiki-platform-localization-rest-default
org.jboss.aerogear,aerogear-crypto
io.activej,activej-specializer
org.springframework.boot,spring-boot-starter-data-mongodb
com.netflix.hystrix,hystrix-serialization
org.nuxeo,nuxeo-platform-lang-ext
org.glassfish.jersey.bundles.repackaged,jersey-guava
com.querydsl,querydsl-kotlin-codegen
org.openhab.addons.bundles,org.openhab.transform.xpath
org.datasyslab,sernetcdf
io.seata,seata-discovery-custom
com.hurence.logisland,logisland-processor-excel
org.codehaus.groovy,groovy-groovydoc
com.paritytrading.parity,parity-match
io.netty,netty-codec-http2
com.addthis.metrics,reporter-config
jakarta.transaction,jta
org.jboss.shrinkwrap.descriptors,shrinkwrap-descriptors-impl-docker
org.jboss.jbossas,jboss-as-connector
org.metawidget.modules.static.html,metawidget-static-html
de.saring,leafletmap
org.openhab.addons.bundles,org.openhab.binding.semsportal
org.glassfish.main.hk2,hk2-config
io.opentracing.contrib,opentracing-spring-cloud-jms-starter
org.graalvm.js,js
io.grpc,grpc-okhttp
org.metawidget.modules.swing,metawidget-swing
io.cattle,cattle-iaas-agent-instance
org.apache.http,httpcore
org.elasticsearch.client,x-pack-transport
org.apache.pulsar,pulsar-io-solr
xerces-J,xml-resolver
io.dropwizard.metrics,metrics-jakarta-servlets
org.apache.camel.quarkus,camel-quarkus-jbpm-deployment
net.sf.jsignature.io-tools,easystream
org.nuxeo.ecm.core,nuxeo-core-test
com.thinkbiganalytics.kylo.plugins,kylo-field-policy-default
org.nuxeo.ecm,nuxeo-wopi-web-ui
io.github.openfeign,feign-jackson-jaxb
org.codice.ddf.spatial,spatial-wfs-v1_1_0-source
uk.gov.dstl.geo,osgb
org.jenkins-ci.plugins,dashboard-view
com.sonymobile.tools.gerrit,gerrit-events
org.spf4j,spf4j-asm
